ranking_2025,nit,razon_social,supervisor,región,departamento_domicilio,ciudad_domicilio,ciiu,macrosector,ingresos_operacionales_2025,ganancia_pérdida_2025,total_activos_2025,total_pasivos_2025,total_patrimonio_2025,ingresos_operacionales_2024,ganancia_pérdida_2024,total_activos_2024,total_pasivos_2024,total_patrimonio_2024,ranking_20251
1629,800201315,SURTILIDER SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,178489304,5629318,52292443,11625537,40666906,161158461.0,4425962.0,46874003.0,11836415.0,35037588.0,1629
1630,901354352,ARVAL RELSA COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N7710 - Alquiler y arrendamiento de vehículos automotores,SERVICIOS,178488940,871812,533208924,485555614,47653310,112727773.0,-5255579.0,472973816.0,426192318.0,46781498.0,1630
1631,900326706,PANAMERICANA DE ALIMENTOS SAS,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,RIONEGRO-ANTIOQUIA,"C1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",MANUFACTURA,178469160,378971,80144970,39232665,40912305,189063056.0,290837.0,89284473.0,48460302.0,40824171.0,1631
1632,900671882,SOLENIS COLOMBIA S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,GIRARDOTA-ANTIOQUIA,C2029 - Fabricación de otros productos químicos n.c.p.,MANUFACTURA,178360498,10819713,277718654,63676109,214042545,184402923.0,4415433.0,311373053.0,102126156.0,209246897.0,1632
1633,860514604,ERAZO VALENCIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,COTA-CUNDINAMARCA,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO,178315744,5737479,241038894,44008766,197030128,218362667.0,49332042.0,227551054.0,36308468.0,191242586.0,1633
1634,800065539,HOTELES ROYAL S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,I5511 - Alojamiento en hoteles,SERVICIOS,178235279,8835446,202425217,156231947,46193270,178439657.0,-542761.0,201568059.0,163871418.0,37696641.0,1634
1635,900306204,MKMS ENERJI SUCURSAL COLOMBIA,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,B0721 - Extracción de minerales de uranio y de torio,MINERO,178209141,-7599366,868327400,665290067,203037333,156221849.0,30887177.0,457283789.0,139134820.0,318148969.0,1635
1636,860000122,ARROCERA BOLUGA LTDA.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,C1051 - Elaboración de productos de molinería,MANUFACTURA,178136179,6139984,52788203,22047102,30741101,166371090.0,1539327.0,45390419.0,20789302.0,24601117.0,1636
1637,890912140,LONDOÑO GOMEZ S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,L6820 - Actividades inmobiliarias realizadas a cambio de una retribución o por contrata,SERVICIOS,178116146,37496407,620444847,369144180,251300667,105265078.0,9100410.0,534822997.0,316500608.0,218322389.0,1637
1638,800163265,COMPANIA DE SERVICIOS DE VIGILANCIA PRIVADA PORTILLA Y PORTILLA LTDA,SUPERVIGILANCIA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,"11001 - BOGOTA-BOGOTA, D.C.",N8010 - Actividades de seguridad privada,SERVICIOS,178027060,20031645,68009760,30511383,37498376,106958301.0,12732079.0,71582926.0,33161195.0,38421732.0,1638
1639,900315760,SU ALIADO TEMPORAL,SUPERSOCIEDADES,CARIBE,ATLÁNTICO,BARRANQUILLA,N7820 - Actividades de empresas de servicios temporales,SERVICIOS,177957601,977566,27705645,19849152,7856493,203109084.0,577902.0,25239548.0,18360620.0,6878928.0,1639
1640,830024104,SERVICIOS GENERALES EMPRESA DE SERVICIOS PUBLICOS DE CARACTER PRIVADO S.A. E.S.P.,SUPERSERVICIOS,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,"BOGOTÁ, D.C.",E3811 - Recolección de desechos no peligrosos,SERVICIOS,177912298,6040080,283292252,154520951,128771300,155278257.726,69271.226,238794969.742,169684374.951,69110594.791,1640
1641,900407987,GUACAMAYA ENERGY SERVICES S A S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO,177840225,2261980,198228887,128643949,69584938,198421271.0,7279673.0,168909344.0,101586386.0,67322958.0,1641
1642,860070995,INDUSTRIA COLOMBIANA DE LOGISTICA Y TRANSPORTE S.A.S. BIC,SUPERTRANSPORTE,ANTIOQUIA,ANTIOQUIA,ITAGÜÍ,H4923 - Transporte de carga por carretera,SERVICIOS,177786230,4341884,180100106,121727835,58372270,170321366.696,1627010.387,180748758.303,126718372.343,54030385.96,1642
1643,836000548,AGROINSUMOS SAS,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,CARTAGO-VALLE,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,177748703,357942,124474967,83662336,40812631,204751906.0,364339.0,124895212.0,84477153.0,40418059.0,1643
1644,800134536,BRIGARD & URRUTIA ABOGADOS S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,M6910 - Actividades jurídicas,SERVICIOS,177689469,31352339,96850694,33189605,63661089,170914542.0,36925527.0,100361152.0,43062730.0,57298422.0,1644
1645,890700031,SIDA SA,SUPERSOCIEDADES,CENTRO,TOLIMA,IBAGUE-TOLIMA,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,177623442,2141553,80956390,55711081,25245309,151556174.0,-242119.0,75683798.0,53068538.0,22615260.0,1645
1646,900140469,SAR ENERGY S A S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural,MINERO,177606466,34176606,79234482,36839066,42395416,124971477.0,2840221.0,56925097.0,45788226.0,11136871.0,1646
1647,890300213,ALUMINIO NACIONAL S.A. EN REORGANIZACIÓN,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,YUMBO-VALLE,C2599 - Fabricación de otros productos elaborados de metal n.c.p.,MANUFACTURA,177593806,1612309,114622450,95890016,18732434,155108492.0,3061081.0,156418431.0,139483942.0,16934489.0,1647
1648,800233881,LATINOAMERICANA DE CONSTRUCCIONES S.A. EN TRAMITE DE NEGOCIACION DE EMERGENCIA,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,F4210 - Construcción de carreteras y vías de ferrocarril,CONSTRUCCIÓN,177578451,-32925786,367148047,261092279,106055768,185489614.0,-8496820.0,420167764.0,276209903.0,143957861.0,1648
1649,860032347,COMPANIA ANDINA DE SEGURIDAD PRIVADA LTDA,SUPERVIGILANCIA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,"11001 - BOGOTA-BOGOTA, D.C.",N8010 - Actividades de seguridad privada,SERVICIOS,177416086,6070496,93780094,35429627,58350467,151495868.0,4844904.0,85958558.0,28833683.0,57124875.0,1649
1650,800003675,DISEÑOS Y CONSTRUCCIONES S.A.S,SUPERSOCIEDADES,CENTRO - ORIENTE,SANTANDER,BUCARAMANGA-SANTANDER,F4220 - Construcción de proyectos de servicio público,CONSTRUCCIÓN,177402078,2172786,184733883,138738868,45995015,233166507.0,5609071.0,183911072.0,140078564.0,43832508.0,1650
1651,860519235,TALLERES AUTORIZADOS S.A,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4520 - Mantenimiento y reparación de vehículos automotores,COMERCIO,177374718,7981883,153756053,60572709,93183344,159472870.0,1033658.0,162473565.0,76765762.0,85707803.0,1651
1652,860510031,GRUPO ASESORIA EN SISTEMATIZACION DE DATOS S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"J6311 - Procesamiento de datos, alojamiento (hosting) y actividades relacionadas",SERVICIOS,177260834,17818534,366231943,132290323,233941620,135776469.0,6582395.0,356499744.0,137449900.0,219049844.0,1652
1653,890921157,MARROCAR S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,COMERCIO,177207149,13110479,117567222,52761728,64805494,164396425.0,11262510.0,103480507.0,49785492.0,53695015.0,1653
1654,900581199,COMPAÑIA DE SERVICIOS COMERCIALES SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,SERVICIOS,177112348,6743140,114723533,33610181,81113352,178594776.0,6346695.0,106799659.0,32429447.0,74370212.0,1654
1655,804009833,INDUNILO SOCIEDAD ANONIMA SIMPLIFICADA POR ACCIONES INDUNILO SAS,SUPERSOCIEDADES,CENTRO - ORIENTE,SANTANDER,BUCARAMANGA-SANTANDER,C1040 - Elaboración de productos lácteos,MANUFACTURA,176997916,8711674,60711805,26953744,33758061,172139902.0,17046387.0,75863431.0,35577283.0,40286148.0,1655
1656,860054886,INCOLBEST S.A,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"C2930 - Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores",MANUFACTURA,176938239,5904289,188062480,140189361,47873119,160439374.0,4883118.0,196811632.0,149077140.0,47734492.0,1656
1657,900076998,ATENTO TELESERVICIOS ESPAÑA SA SUCURSAL EN COLOMBIA,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N8220 - Actividades de centros de llamadas (call center),SERVICIOS,176907801,22482451,397435523,32941593,364493930,189469738.0,55754389.0,381602088.0,39590609.0,342011479.0,1657
1658,816004965,ESTATAL DE SEGURIDAD LTDA,SUPERVIGILANCIA,EJE CAFETERO,RISARALDA,66001 - PEREIRA-RISARALDA,N8010 - Actividades de seguridad privada,SERVICIOS,176858735,2513053,52059073,26230808,25828265,167137296.0,2027205.0,49962417.0,25064421.0,24897996.0,1658
1659,900491256,MICHAEL PAGE INTERNATIONAL COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N7830 - Otras actividades de provisión de talento humano,SERVICIOS,176766676,-1706646,130415173,126609411,3805762,166183874.0,-1678864.0,116005808.0,110493400.0,5512408.0,1659
1660,800076719,VIGILANCIA SANTAFERENA Y CIA LTDA,SUPERVIGILANCIA,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,"11001 - BOGOTA-BOGOTA, D.C.",N8010 - Actividades de seguridad privada,SERVICIOS,176750963,1900659,52736473,29757590,22978884,172111148.0,1767314.0,46865219.0,25258994.0,21606225.0,1660
1661,800095036,DLK SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,I5611 - Expendio a la mesa de comidas preparadas,SERVICIOS,176628274,2796442,42754189,33809467,8944722,162199124.0,2675790.0,34992092.0,26443813.0,8548279.0,1661
1662,900464876,ALTAMIRA SUPREMO S.A.S.,SUPERSOCIEDADES,EJE CAFETERO,RISARALDA,PEREIRA-RISARALDA,C1061 - Trilla de café,MANUFACTURA,176520099,314474,33033421,23472198,9561223,138531521.0,-88993.0,37778356.0,28531608.0,9246748.0,1662
1663,890212868,AGROINDUSTRIAS DEL SUR DEL CESAR LTDA Y CIA SCA,SUPERSOCIEDADES,CENTRO - ORIENTE,SANTANDER,FLORIDABLANCA-SANTANDER,C1031 - Extracción de aceites de origen vegetal crudos,MANUFACTURA,176455298,3760513,102122803,20639994,81482809,24919841.0,303134.0,100947646.0,22756545.0,78191101.0,1663
1664,900138858,BRECCIA SALUD SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4773 - Comercio al por menor de productos farmacéuticos y medicinales, cosméticos y artículos de tocador en establecimientos especializados",COMERCIO,176371231,-4532716,86982017,58763800,28218217,165478388.0,-3234898.0,90061737.0,64492241.0,25569496.0,1664
1665,900665854,TRIPLE ALIANZA SAS,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,ITAGUI-ANTIOQUIA,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,176339436,551534,80152146,74989285,5162861,167974611.0,449224.0,80795960.0,74293772.0,6502188.0,1665
1666,891900101,COMPAÑIA DE ELECTRICIDAD TULUA S.A. E.S.P. - CETSA,SUPERFINANCIERA,PACÍFICO,VALLE DEL CAUCA,TULUA,D3511 - Generación de energia electrica,SERVICIOS,176295522,40549904,229301579,35663804,193637775,170395522.0,28305353.0,222403970.0,42167374.0,180236596.0,1666
1667,900338568,GRUPO EMPRESARIAL GIRALDO S SAS,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,CALI-VALLE,"G4724 - Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados",COMERCIO,176280284,2068133,97487723,80684311,16803412,186799954.0,2388596.0,80047236.0,65311957.0,14735279.0,1667
1668,900614404,BIOPLANTA PALMERA PARA EL DESARROLLO S.A.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,CAREPA-ANTIOQUIA,C1031 - Extracción de aceites de origen vegetal crudos,MANUFACTURA,176217627,1639330,58517320,41175323,17341997,179568440.0,5176288.0,62834070.0,40019498.0,22814572.0,1668
1669,901222050,C.I. FUELS AND BUNKERS COLOMBIA S.A.S.,SUPERTRANSPORTE,PACÍFICO,VALLE DEL CAUCA,BUENAVENTURA,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,176122027,1780162,19665400,16499360,3166041,186043569.957,1539131.0,25276953.126,23475509.575,1801443.551,1669
1670,901847883,IA4 SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,MOSQUERA-CUNDINAMARCA,"G4665 - Comercio al por mayor de desperdicios, desechos y chatarra",COMERCIO,175983227,-4555289,260023629,189825992,70197637,76612192.0,-6029826.0,217438827.0,150618059.0,66820768.0,1670
1671,900579930,INDULACTEOS DE COLOMBIIA SAS,SUPERSOCIEDADES,CENTRO - ORIENTE,SANTANDER,BUCARAMANGA-SANTANDER,C1040 - Elaboración de productos lácteos,MANUFACTURA,175974166,6902926,76126211,18964707,57161504,162613129.0,5314032.0,72734457.0,20893966.0,51840491.0,1671
1672,860065656,"POLLO OLIMPICO S,A",SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,A0145 - Cría de aves de corral,AGROPECUARIO,175764686,18559074,113449588,17157244,96292344,185020543.0,18961060.0,106116063.0,29753212.0,76362851.0,1672
1673,900261404,COMERCIALIZADORA INTERNACIONAL BANARICA S.A,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos,COMERCIO,175630000,-606000,24060000,16010000,8050000,145071000.0,965000.0,21816000.0,13160000.0,8656000.0,1673
1674,800217975,SERVICIOS GEOLOGICOS INTEGRADOS S.A.S SGI S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,SERVICIOS,175463218,11282301,117712199,42376690,75335509,109438962.0,7884366.0,99282622.0,38519181.0,60763441.0,1674
1675,830011616,AUTOGALIAS SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,175371501,318332,75746387,60202771,15543616,129824776.0,-267673.0,62425064.0,47199780.0,15225284.0,1675
1676,901217206,ATINKANA S.A.S. E.S.P.,SUPERSERVICIOS,CARIBE,ATLÁNTICO,BARRANQUILLA,"G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos",COMERCIO,175329980,3301546,69582950,63397946,6185004,149004787.0,2316467.0,55900495.0,53017037.0,2883458.0,1676
1677,900114897,SANTA MARTA INTERNATIONAL TERMINAL COMPANY S.A.S.,SUPERTRANSPORTE,CARIBE,MAGDALENA,SANTA MARTA,H5224 - Manipulación de carga,SERVICIOS,175293578,34384747,182571305,136843548,45727757,173656377.0,34384498.0,171644167.0,122010825.0,49633342.0,1677
1678,800226384,GENFAR DESARROLLO Y MANUFACTURA S.A.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico",MANUFACTURA,175279901,7703422,232366439,65049205,167317234,138685895.0,-15152996.0,221277902.0,61664090.0,159613812.0,1678
1679,821000169,NUTRIUM S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,"C1020 - Procesamiento y conservación de frutas, legumbres, hortalizas y tubérculos",MANUFACTURA,175257633,-1762346,440878749,121034678,319844071,189712859.0,-9258852.0,389858464.0,170568045.0,219290419.0,1679
1680,900195563,DISTRIBUIDORA Y COMERCIALIZADORA MERCOGRANOS SAS,SUPERSOCIEDADES,PACÍFICO,NARIÑO,PASTO-NARINO,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,175172251,3709561,94651236,50552516,44098720,186563268.0,2769465.0,97679932.0,62692929.0,34987003.0,1680
1681,816002020,EMPRESA DE ACUEDUCTO Y ALCANTARILLADO DE PEREIRA S.A. ESP.,SUPERSERVICIOS,EJE CAFETERO,RISARALDA,PEREIRA,"E3600 - Captación, tratamiento y distribución de agua",SERVICIOS,175154825,22424179,785893514,311462350,474431164,165520596.0,21994343.0,738052967.0,273255965.0,464797002.0,1681
1682,900426105,GROUPM TRADING COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,M7310 - Publicidad,SERVICIOS,174871244,9961835,81970044,33874207,48095837,129535045.0,8999955.0,67598505.0,25064502.0,42534003.0,1682
1683,901879580,INVERSIONES CIBEST S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,M7010 - Actividades de administración empresarial,SERVICIOS,174868640,172162373,1226484454,681,1226483773,0.0,0.0,100.0,,100.0,1683
1684,860002153,ALMACENES GENERALES DE DEPOSITO ALMAVIVA S A,SUPERTRANSPORTE,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,"BOGOTÁ, D.C.",H5210 - Almacenamiento y depósito,SERVICIOS,174781033,5810988,586667899,284592492,302075407,172602773.87600002,4974071.83,621202600.189,325473326.578,295729273.611,1684
1685,890930060,AGRICOLA SANTAMARIA S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,APARTADO-ANTIOQUIA,A0122 - Cultivo de plátano y banano,AGROPECUARIO,174750852,17121935,475513817,136620130,338893687,141365987.0,-2053885.0,461411885.0,142896135.0,318515750.0,1685
1686,800161656,MODANOVA S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"C1392 - Confección de artículos con materiales textiles, excepto prendas de vestir",MANUFACTURA,174668478,9400289,116034730,82884581,33150149,148180608.0,5539501.0,117176750.0,87543126.0,29633624.0,1686
1687,900923508,AUTAMA MOTOR SAS,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,CALI-VALLE,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,174404766,2194511,35279849,28461529,6818320,122244611.0,362082.0,29455121.0,24831312.0,4623809.0,1687
1688,800011161,ALCIAUTOS S.A.S.,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,174237130,-411659,108973664,48103400,60870264,145100038.0,3173114.0,93560423.0,32278501.0,61281922.0,1688
1689,860046927,T. EN COLOMBIA S.A,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,M7112 - Actividades de ingeniería y otras actividades conexas de consultoría técnica,SERVICIOS,174123032,5758748,143843549,47018435,96825114,136210544.0,9280460.0,134691169.0,44855616.0,89835553.0,1689
1690,860527701,TRIANGULO POLLORICO SA,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,VILLETA-CUNDINAMARCA,A0145 - Cría de aves de corral,AGROPECUARIO,173947146,6519827,54283484,40014952,14268532,156109943.0,8333232.0,55522953.0,45334249.0,10188704.0,1690
1691,830058677,IFX NETWORKS COLOMBIA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,J6209 - Otras actividades de tecnologías de información y actividades de servicios informáticos,SERVICIOS,173937939,524357,174332888,82307409,92025479,150330490.0,-1425178.0,137888298.0,64803724.0,73084574.0,1691
1692,901168500,GRUPO ALPINA S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,SOPO-CUNDINAMARCA,"K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.",SERVICIOS,173709606,172741734,516626555,1197153,515429402,89600088.0,88980220.0,692267088.0,1137783.0,691129305.0,1692
1693,830024478,AVIZOR SEGURIDAD LTDA,SUPERVIGILANCIA,LLANOS ORIENTALES,META,50001 - VILLAVICENCIO-META,N8010 - Actividades de seguridad privada,SERVICIOS,173528390,5322552,55334487,22539986,32794501,142323253.0,10628275.0,48466860.0,17977248.0,30489612.0,1693
1694,900550459,VISA COLOMBIA SOCIEDAD ANONIMA,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.,SERVICIOS,173496223,8911772,51525934,28233489,23292445,90190164.0,4624607.0,27586592.0,13205919.0,14380673.0,1694
1695,901255519,FIGARANTIAS SAS,SUPERSOCIEDADES,PACÍFICO,VALLE DEL CAUCA,PALMIRA-VALLE,K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.,SERVICIOS,173404156,5507174,38527487,26536332,11991155,170670470.0,3795428.0,25621148.0,19137167.0,6483981.0,1695
1696,890933815,AVERY DENNISON COLOMBIA S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,ENVIGADO-ANTIOQUIA,G4669 - Comercio al por mayor de otros productos n.c.p.,COMERCIO,173356964,12132608,90090121,17556992,72533129,148309048.0,12106272.0,84706169.0,24305648.0,60400521.0,1696
1697,900207065,IBEROMODA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,CHIA-CUNDINAMARCA,G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados,COMERCIO,173192271,-3839301,157526708,161105227,-3578519,169648965.0,-7660241.0,156938221.0,160302439.0,-3364218.0,1697
1698,900329399,ALEMAUTOS S.A.,SUPERSOCIEDADES,ANTIOQUIA,ANTIOQUIA,MEDELLIN,G4511 - Comercio de vehículos automotores nuevos,COMERCIO,173130722,2140743,36636849,45098110,-8461261,155212264.0,-6319259.0,44094981.0,54696985.0,-10602004.0,1698
1699,900656960,ASPEN COLOMBIANA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4645 - Comercio al por mayor de productos farmacéuticos, medicinales, cosméticos y de tocador",COMERCIO,173087994,8036878,162695459,51112667,111582792,162604134.0,3722753.0,156485674.0,52939760.0,103545914.0,1699
1700,800241495,FERREDISTARCO SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción",COMERCIO,172964270,6872366,57721007,9565695,48155312,143740422.0,5081439.0,50062861.0,8779915.0,41282946.0,1700
1701,830081427,TAKAMI S A,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,I5611 - Expendio a la mesa de comidas preparadas,SERVICIOS,172788993,6627198,56052482,38528428,17524054,149925145.0,3347705.0,52835901.0,38009120.0,14826781.0,1701
1702,900512356,CAPGEMINI COLOMBIA S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,"J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas)",SERVICIOS,172450988,8912248,65656449,35329099,30327350,145762560.0,7763589.0,58392939.0,30977837.0,27415102.0,1702
1703,900158025,GEA ANDINA SOCIEDAD POR ACCIONES SIMPLIFICADAGEA ANDINA SAS,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,DISTRITO CAPITAL DE BOGOTÁ,BOGOTA D.C.,G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,COMERCIO,172333302,-7148279,124464577,85547921,38916656,222171899.0,23635790.0,155504179.0,109439243.0,46064936.0,1703
1704,900091949,DUWEST COLOMBIA S.A.S,SUPERSOCIEDADES,BOGOTÁ-CUNDINAMARCA,CUNDINAMARCA,COTA-CUNDINAMARCA,"G4664 - Comercio al por mayor de productos químicos básicos, cauchos y plásticos en formas primarias y productos químicos de uso agropecuario",COMERCIO,172040701,9326620,110293143,68030735,42262408,155946497.0,7292044.0,110977106.0,78041318.0,32935788.0,1704
1705,901464782,CERAMICAS Y MATERIALES CASTELLON S.A.S.,SUPERSOCIEDADES,CARIBE,ATLÁNTICO,BARRANQUILLA,C2393 - Fabricación de otros productos de cerámica y porcelana,MANUFACTURA,171985812,30473100,212727115,112371494,100355621,159337130.0,22914715.0,151135817.0,81253297.0,69882520.0,1705
1706,901324644,FRUTY GREEN PACKING S.A.S.,SUPERSOCIEDADES,EJE CAFETERO,RISARALDA,GUATICA-RISARALDA,G4631 - Comercio al por mayor de productos alimenticios,COMERCIO,171894135,9928249,92589727,62621953,29967774,116128628.0,5473211.0,86843789.0,66805482.0,20038307.0,1706
